Variable,Coefficient,Std. Error,t-statistic,P-value,Significance
Constant,4.529055526687564,1.9303043138637548,2.3462909418785225,0.018961299983848736,**
Share 65+ (2000),-0.009765690672475886,0.017630922909563015,-0.5538956027752225,0.5796502946451316,
Log Population (2000),-0.4306979436489921,0.055729331844867176,-7.728388792600616,1.0891627042035646e-14,***
Median HH Income (2000),0.0001263878126898052,3.1312802823818906e-05,4.036298296288731,5.430116786453616e-05,***
Median House Value (2000),3.4214918507160716e-06,2.3347263372143578e-06,1.465478757051403,0.1427903439380842,
Median Rent (2000),-0.00984202237616657,0.0026995325391248968,-3.6458246876168583,0.0002665356449569584,***
State Income Tax Rate (2000),-0.008191662624848195,0.024611181109953518,-0.3328431328935788,0.7392526974266489,
Healthcare Employment Share (2000),-3.090375775688263,0.4503996968323706,-6.861407317595146,6.818543720953532e-12,***
USDA Natural Amenities Scale,0.10252339865682919,0.03748678213100562,2.734921293018407,0.006239519334757071,***
Income-to-House Value Ratio,-3.8205375510409203,0.9895104682726553,-3.861038031977836,0.0001129063253042163,***
Rent-to-Income Ratio,18.93781177299571,9.832353813725,1.9260710234573113,0.05409550617184752,*
Land Area (sq. miles),2.299523191803148e-05,3.640824115502763e-05,0.6315941443069699,0.5276521138969275,
Population Density (2000),-5.74885702324279e-05,3.690435883590257e-05,-1.5577718200729147,0.11928734837620338,
