AGEP,HINCP,TEN,SPORDER,PWGTP,WGTP,PUMA,state,puma_int
71,275000,2,1,156,156,04121,36,4121
83,392500,2,1,214,214,04107,36,4107
72,149000,2,1,113,114,04121,36,4121
81,550000,2,1,208,209,04107,36,4107
78,173000,2,1,55,55,04108,36,4108
66,1540000,1,1,83,83,04112,36,4112
69,358500,1,1,121,120,04165,36,4165
95,39800,2,1,244,245,04108,36,4108
66,835000,1,1,98,98,04108,36,4108
67,145400,2,1,60,60,04111,36,4111
81,39000,2,1,61,61,04112,36,4112
70,108300,2,1,176,176,04103,36,4103
69,172900,1,1,197,198,04107,36,4107
80,432000,1,1,130,130,04108,36,4108
72,121700,1,1,124,124,04107,36,4107
79,118300,1,1,218,219,04112,36,4112
79,54000,2,1,98,98,04112,36,4112
77,305100,2,1,75,75,04103,36,4103
73,236500,2,1,116,116,04103,36,4103
76,141300,2,1,98,97,04107,36,4107
83,527700,2,1,108,109,04108,36,4108
88,62000,2,1,141,141,04108,36,4108
76,178300,2,1,109,109,04108,36,4108
68,199100,2,1,102,103,04165,36,4165
70,801300,2,1,146,145,04121,36,4121
69,152300,2,1,90,90,04165,36,4165
75,202000,2,1,146,146,04165,36,4165
72,374000,2,1,94,93,04108,36,4108
66,215000,2,1,111,110,04121,36,4121
68,457000,1,1,96,96,04107,36,4107
74,44840,2,1,107,108,04108,36,4108
72,160150,2,1,544,544,04165,36,4165
65,1235000,1,1,75,75,04103,36,4103
79,74800,1,1,217,217,04121,36,4121
75,61000,2,1,164,163,04121,36,4121
70,423000,2,1,176,176,04107,36,4107
72,164000,2,1,95,95,04108,36,4108
82,304300,1,1,391,391,04165,36,4165
95,530100,2,1,109,109,04108,36,4108
72,483000,2,1,134,134,04108,36,4108
68,42000,2,1,127,127,04165,36,4165
84,225200,2,1,140,139,04108,36,4108
67,259000,1,1,60,60,04110,36,4110
65,485000,2,1,59,58,04109,36,4109
77,27100,2,1,86,86,04103,36,4103
69,121000,1,1,108,108,04108,36,4108
83,177680,2,1,120,121,04109,36,4109
80,28000,2,1,121,120,04108,36,4108
83,10700,2,1,118,118,04112,36,4112
72,400300,1,1,217,217,04108,36,4108
85,37000,2,1,133,133,04165,36,4165
91,333000,2,1,112,112,04108,36,4108
74,82000,2,1,194,194,04107,36,4107
66,285000,1,1,61,61,04121,36,4121
67,166800,2,1,111,111,04103,36,4103
70,5300,2,1,131,132,04108,36,4108
84,237400,2,1,88,89,04165,36,4165
80,470300,2,1,155,154,04104,36,4104
68,420000,2,1,89,88,04108,36,4108
77,142000,2,1,182,183,04107,36,4107
74,100500,2,1,425,425,04109,36,4109
76,40030,2,1,120,121,04108,36,4108
88,112200,2,1,106,107,04108,36,4108
73,271800,1,1,101,100,04108,36,4108
84,212000,2,1,117,117,04165,36,4165
70,102500,1,1,179,179,04110,36,4110
73,8300,2,1,104,104,04108,36,4108
65,536000,2,1,97,97,04108,36,4108
67,33400,2,1,125,125,04109,36,4109
68,6800,2,1,294,294,04165,36,4165
65,70000,2,1,93,93,04104,36,4104
71,270000,1,1,122,122,04108,36,4108
69,449000,2,1,114,115,04107,36,4107
66,753000,2,1,54,55,04111,36,4111
74,28900,2,1,116,116,04165,36,4165
80,142200,2,1,174,174,04107,36,4107
84,88100,2,1,144,143,04108,36,4108
73,94500,2,1,119,119,04108,36,4108
75,154000,2,1,114,115,04103,36,4103
68,75000,2,1,727,727,04107,36,4107
95,36400,2,1,216,216,04165,36,4165
90,13400,2,1,43,43,04165,36,4165
73,163000,2,1,120,120,04108,36,4108
65,175000,1,1,110,110,04108,36,4108
69,426200,2,1,216,216,04107,36,4107
80,319000,2,1,106,106,04108,36,4108
66,53600,2,1,118,118,04165,36,4165
65,140000,1,1,120,120,04107,36,4107
95,339000,2,1,732,732,04165,36,4165
65,79000,2,1,359,359,04104,36,4104
70,18800,1,1,132,132,04165,36,4165
77,47000,2,1,94,94,04103,36,4103
73,120000,2,1,115,115,04107,36,4107
81,372000,2,1,109,109,04107,36,4107
77,57000,2,1,666,666,04121,36,4121
70,50100,2,1,121,121,04121,36,4121
72,2900,1,1,156,156,04112,36,4112
65,85100,2,1,77,77,04103,36,4103
80,90000,2,1,149,149,04108,36,4108
66,364400,1,1,106,106,04108,36,4108
90,349700,1,1,136,136,04108,36,4108
77,200200,2,1,35,35,04103,36,4103
71,544000,1,1,203,203,04108,36,4108
75,84000,1,1,238,238,04121,36,4121
67,33600,1,1,252,251,04121,36,4121
68,492800,2,1,139,139,04104,36,4104
74,18200,2,1,74,74,04103,36,4103
80,172300,2,1,122,122,04108,36,4108
73,449400,2,1,142,142,04103,36,4103
80,34300,2,1,356,356,04108,36,4108
80,69000,2,1,106,106,04108,36,4108
65,1620000,1,1,835,835,04108,36,4108
66,602900,1,1,191,192,04108,36,4108
66,2000,2,1,141,142,04121,36,4121
