stname,name,fips,r0ttt0,r0ttt5,r0ttt10,r0ttt15,r0ttt20,r0ttt25,r0ttt30,r0ttt35,r0ttt40,r0ttt45,r0ttt50,r0ttt55,r0ttt60,r0ttt65,r0ttt70,r0ttt75,m0ttt0,m0ttt5,m0ttt10,m0ttt15,m0ttt20,m0ttt25,m0ttt30,m0ttt35,m0ttt40,m0ttt45,m0ttt50,m0ttt55,m0ttt60,m0ttt65,m0ttt70,m0ttt75,e0ttt0,e0ttt5,e0ttt10,e0ttt15,e0ttt20,e0ttt25,e0ttt30,e0ttt35,e0ttt40,e0ttt45,e0ttt50,e0ttt55,e0ttt60,e0ttt65,e0ttt70,e0ttt75
Alabama,State Total,01000,0.6,4.5,3.9,6.2,7.7,-0.1,-1,4.4,4.4,4.6,4.5,4.5,7.4,9.2,7.4,-0.9,1985,13469,12054,19966,24364,-584,-3173,13226,13396,15480,15023,13427,18916,17641,11123,-2667,313636,297365,307600,318600,313332,316435,304078,297178,298126,331744,331473,296258,253223,189702,149021,288336
Alabama,Autauga County,01001,3.7,29.2,37.1,15.8,-15.4,0,44.8,56.9,36.7,10.7,9.4,6.9,19.4,17.5,16.1,21.8,134,909,1161,576,-565,1,1037,1512,1095,420,331,197,445,336,240,451,3555,3112,3128,3647,3659,3186,2314,2657,2983,3907,3520,2859,2287,1913,1487,2063
Alabama,Baldwin County,01003,3.8,28.1,33.5,19.2,-4.2,12.1,54.6,46.1,35.8,27.8,25.1,28.2,41.2,42,33,12.9,427,2569,2995,1846,-416,1123,3811,3655,3153,2920,2690,2727,3450,2972,1885,1452,11094,9126,8930,9575,9907,9222,6968,7927,8806,10481,10700,9662,8367,7074,5699,11234
Alabama,Barbour County,01005,-6.4,-8.6,-14.1,-17.7,-14.1,-0.8,-4.7,-10.3,-9.1,-8.3,-10.1,-3.1,0,5.8,6,-19.1,-121,-157,-262,-369,-299,-18,-91,-213,-183,-193,-216,-58,0,70,54,-394,1893,1814,1861,2078,2120,2096,1945,2062,2015,2329,2132,1871,1775,1208,891,2057
Alabama,Bibb County,01007,7.6,5.7,-3.9,-1.5,6.7,23.5,34.7,28.7,11.4,28.1,14.9,12.5,19.5,7.7,9.6,2.3,101,76,-59,-23,94,313,431,393,168,398,205,155,214,68,66,27,1318,1339,1499,1542,1408,1328,1242,1371,1470,1415,1370,1236,1099,885,686,1146
Alabama,Blount County,01009,10.8,16.5,11.7,8.3,-12.9,5.2,16.2,14.4,10.2,8.2,8.4,8.3,18.7,14.3,10.9,4,366,555,430,306,-464,173,484,493,371,314,302,282,556,358,214,131,3375,3361,3653,3663,3579,3286,2977,3405,3644,3828,3584,3369,2965,2494,1958,3204
Alabama,Bullock County,01011,-18.9,-23.1,-12.2,-18,-14.8,-0.9,-15,-15.4,-11.2,-0.6,-2.8,3,2.5,7.9,12.9,-16.4,-181,-173,-93,-158,-126,-8,-133,-133,-84,-6,-25,23,16,35,41,-124,958,749,768,876,849,865,887,863,746,870,889,748,617,439,318,756
Alabama,Butler County,01013,-3,0.7,3.5,-11.8,-29,-25.6,7,3.6,5.1,1.5,3.6,6.2,9.8,12,17.1,-1.5,-44,9,49,-184,-483,-450,82,41,60,21,55,89,114,106,120,-26,1464,1352,1415,1556,1664,1760,1175,1129,1159,1414,1497,1434,1162,888,702,1676
Alabama,Calhoun County,01015,0.8,2.1,7.4,13.1,24.5,-3.3,-9.8,4,2.4,5.7,4.7,2.4,4.9,8.5,4.7,-2.4,65,158,533,986,1791,-268,-790,283,176,453,388,189,328,415,184,-191,7381,7425,7185,7494,7286,7962,8034,6976,7211,7839,8265,7766,6649,4857,3894,7694
Alabama,Chambers County,01017,-1.9,-5.6,-11.3,-14,-19.7,-20.6,-11.3,-8.3,-1.7,-1.6,5.8,3.7,4.6,9.2,1.6,-8.2,-40,-122,-287,-370,-478,-499,-248,-198,-39,-39,145,88,100,152,20,-233,2062,2184,2524,2636,2421,2421,2185,2362,2336,2458,2503,2365,2169,1653,1261,2818
Alabama,Cherokee County,01019,12.7,14.1,9.9,7.7,-13.5,-11.9,6.7,8.8,11,17.7,22.4,22,28.2,25.8,13.9,-15.6,161,190,147,117,-197,-164,85,133,172,287,381,341,436,333,154,-320,1268,1345,1482,1524,1457,1373,1257,1503,1561,1622,1701,1546,1544,1290,1101,2050
Alabama,Chilton County,01021,7.3,16.1,5.8,2.5,-7.9,4.2,17.9,11.6,7.8,5.3,9.7,10,10.7,7.4,6.1,-2.1,212,430,166,71,-223,111,458,316,210,152,280,253,238,135,84,-54,2891,2673,2831,2866,2808,2631,2547,2718,2670,2858,2878,2525,2208,1806,1385,2514
Alabama,Choctaw County,01023,-1.9,-8.8,-16.9,-17.8,-42.3,-39.7,-15,-12.1,-5.1,-5.2,-2,-0.8,-3.8,1.8,-4.3,-19.6,-15,-84,-195,-194,-498,-450,-129,-116,-48,-57,-23,-8,-36,14,-28,-259,790,955,1149,1085,1176,1133,862,958,931,1110,1110,1025,967,810,654,1315
Alabama,Clarke County,01025,-0.8,-7.6,-10.2,-11.2,-40.9,-33.8,-1.8,-7,-3.4,-4.3,-3.6,-0.4,2.1,0.7,-0.8,-7.5,-13,-141,-221,-249,-885,-714,-28,-121,-61,-88,-75,-7,32,9,-9,-148,1533,1856,2166,2219,2162,2113,1548,1722,1781,2017,2039,1706,1478,1284,1058,1955
Alabama,Clay County,01027,-0.3,3.3,9,-3.5,-21.6,-23.9,-2.2,3.1,4.1,5.7,2.7,2.8,4,14.2,4.1,-9,-3,25,82,-32,-207,-228,-17,27,37,58,28,25,34,94,24,-106,830,764,907,930,958,957,781,879,887,1018,1007,885,852,663,589,1166
Alabama,Cleburne County,01029,0.4,11.8,11.4,5.4,-19.3,-7.6,-0.5,13.2,6.8,3.4,8.4,6.2,16.7,17.3,1.9,0.8,4,100,102,55,-185,-71,-4,118,66,36,79,59,144,119,10,8,961,849,894,1006,955,932,771,894,975,1067,950,959,860,687,553,959
Alabama,Coffee County,01031,1.7,16.6,22.4,11.4,-0.8,21.4,21.4,16,21.3,10.1,3.2,4.7,6.6,9.7,5.6,5.3,58,458,633,341,-27,654,578,457,582,319,105,138,180,194,95,161,3362,2757,2823,2979,3118,3052,2694,2859,2729,3137,3231,2942,2706,1994,1705,3004
Alabama,Colbert County,01033,1.8,3.6,3.8,-5.8,-17.3,-13.7,1.7,0.3,1.5,3.2,2.5,1.1,3.1,6.3,6.2,-5.1,58,110,133,-220,-633,-488,51,10,56,128,105,42,105,172,135,-229,3174,3018,3482,3762,3656,3560,3013,3332,3526,3916,4075,3657,3337,2730,2166,4413
Alabama,Conecuh County,01035,1.1,-2.8,-3.5,-11.1,-36.4,-32.3,-13.4,-6.3,-6.5,3.1,7.3,6.9,8.6,11.9,12.4,-13.9,9,-23,-32,-120,-371,-320,-105,-50,-54,29,70,64,76,82,62,-165,795,820,911,1083,1018,989,789,787,825,957,962,931,877,690,500,1179
Alabama,Coosa County,01037,16.7,7.7,-9.9,-4.4,-32.3,-29.8,-6.8,5.3,-0.6,0.8,17,16.3,21.6,15,14.2,-20.3,83,45,-77,-35,-268,-234,-44,38,-5,6,146,131,149,84,62,-206,497,578,784,805,827,786,657,713,794,861,857,805,692,565,439,1010
Alabama,Covington County,01039,2.8,7,4.7,-1.6,-22.4,-15.6,0.5,9.7,1.2,6.6,8.7,8.2,9.5,15,8.7,-1.1,64,155,109,-40,-568,-392,10,201,28,168,233,197,211,262,135,-37,2269,2210,2298,2482,2537,2505,2009,2060,2225,2554,2667,2402,2207,1741,1549,3230
Alabama,Crenshaw County,01041,7.3,10.8,10.9,-0.5,-23.1,-20.3,5.2,13.9,12.3,10.7,12.5,3.8,8.9,7.1,5.8,-4.9,58,93,91,-5,-222,-185,38,113,94,102,118,34,75,43,29,-53,796,857,832,979,962,911,741,816,764,952,946,891,849,606,501,1068
Alabama,Cullman County,01043,0.7,8.2,3.2,2.4,-8.1,-10.3,4.8,3,0.9,4.4,5,3.1,11,13.4,7.8,0.9,39,395,166,129,-424,-545,227,154,46,252,280,155,501,482,235,52,5045,4788,5111,5223,5201,5289,4653,5009,5110,5664,5501,4974,4540,3587,3014,5320
Alabama,Dale County,01045,-2.3,-7,-12.6,-14.1,0.9,11.1,5,-18,-12.7,-7,-2.7,2.5,5,9.4,-0.2,-6,-91,-265,-485,-529,31,396,162,-684,-445,-260,-100,74,134,188,-4,-181,3909,3755,3835,3732,3443,3546,3224,3800,3486,3718,3615,2979,2660,2002,1695,3005
Alabama,Dallas County,01047,-3.6,-12.7,-8.4,-8.4,-27.1,-30.6,-14.5,-6.5,-1.7,1.3,1.4,1.7,6.5,9.5,-1.1,-15.9,-124,-456,-301,-303,-1024,-1189,-409,-177,-46,42,48,49,159,167,-18,-499,3449,3578,3572,3607,3769,3883,2824,2707,2603,3149,3345,2866,2414,1767,1603,3123
Alabama,DeKalb County,01049,4.8,11.4,11.2,6.9,-6.4,3.6,13.6,7.8,7.4,4.3,3.3,7.1,10.4,13.1,6.1,-6.6,244,541,508,319,-269,157,561,353,334,202,154,288,395,370,141,-296,5013,4715,4534,4628,4169,4304,4111,4472,4511,4641,4659,4026,3798,2823,2320,4428
Alabama,Elmore County,01051,-1.5,11.6,16,13.3,8.7,15.7,33.6,20.9,16,11.8,11.6,6.8,14.3,24.9,18.3,5.5,-80,549,727,645,416,698,1380,1022,795,675,611,313,561,655,373,192,5094,4699,4528,4849,4770,4425,4108,4878,4957,5691,5246,4549,3915,2624,2035,3480
Alabama,Escambia County,01053,-6.5,-2.8,-3.6,-6.1,-11.7,-6.6,2.5,4.3,2,-1.3,-3.5,-2.1,0.3,6.6,3.6,-9.2,-173,-69,-91,-163,-300,-178,66,114,51,-36,-104,-54,8,114,53,-246,2641,2468,2482,2679,2554,2679,2565,2647,2488,2786,2967,2548,2183,1738,1454,2658
Alabama,Etowah County,01055,0.2,4.2,0.7,5,-9.8,-12.5,-1.5,5.4,5.6,6.3,3.9,5.1,8,11.1,8.8,-5.5,13,269,53,344,-665,-873,-97,357,373,430,286,351,506,498,329,-434,6327,6325,6851,6769,6765,6958,6161,6594,6639,6818,7300,6837,6275,4467,3715,7798
Alabama,Fayette County,01057,8.9,2.5,-0.8,-1.3,-24.7,-33.3,-8.4,-9.4,0.3,2.2,0.2,-1.4,3,2.6,4.7,-11.7,84,24,-9,-16,-305,-439,-84,-106,4,28,3,-18,34,24,36,-174,942,982,1155,1207,1231,1319,998,1121,1091,1253,1257,1258,1122,920,770,1482
Alabama,Franklin County,01059,1.1,3.1,1.5,-0.1,-6.7,-4.8,1.2,-0.2,-0.1,-2.2,1,-1.8,2.9,7.2,6,-5.9,26,65,32,-3,-141,-102,25,-5,-3,-49,21,-35,50,100,70,-129,2335,2119,2060,2195,2098,2108,2010,2161,2044,2197,2095,1965,1694,1386,1170,2184
