State (FIPS),State Name,Top Marginal Rate (%)
01,ALABAMA,5.00
02,ALASKA,0.00
04,ARIZONA,2.50
05,ARKANSAS,4.90
06,CALIFORNIA,13.30
08,COLORADO,4.40
09,CONNECTICUT,6.99
10,DELAWARE,6.60
11,DISTRICT OF COLUMBIA,10.75
12,FLORIDA,0.00
13,GEORGIA,5.49
15,HAWAII,11.00
16,IDAHO,5.80
17,ILLINOIS,4.95
18,INDIANA,3.15
19,IOWA,5.70
20,KANSAS,5.70
21,KENTUCKY,4.00
22,LOUISIANA,4.25
23,MAINE,7.15
24,MARYLAND,5.75
25,MASSACHUSETTS,9.00
26,MICHIGAN,4.25
27,MINNESOTA,9.85
28,MISSISSIPPI,4.70
29,MISSOURI,4.95
30,MONTANA,5.90
31,NEBRASKA,5.84
32,NEVADA,0.00
33,NEW HAMPSHIRE,0.00
34,NEW JERSEY,10.75
35,NEW MEXICO,5.90
36,NEW YORK,10.90
37,NORTH CAROLINA,4.50
38,NORTH DAKOTA,2.50
39,OHIO,3.75
40,OKLAHOMA,4.75
41,OREGON,9.90
42,PENNSYLVANIA,3.07
44,RHODE ISLAND,5.99
45,SOUTH CAROLINA,6.40
46,SOUTH DAKOTA,0.00
47,TENNESSEE,0.00
48,TEXAS,0.00
49,UTAH,4.65
50,VERMONT,8.75
51,VIRGINIA,5.75
53,WASHINGTON,0.00
54,WEST VIRGINIA,5.12
55,WISCONSIN,7.65
56,WYOMING,0.00
